Vietnamese, Bahnar
Sau đó Ha-đát cũng chết,Pơtao Hađat kư̆m lôch
Các trưởng tộc của Ê-đôm là:,Lu kră pơgơ̆r dêh Eđôm noh;
Đây là các con trai của Y-sơ-ra-ên:,Kon drŏ-nglo Isơrael noh:
"Đan, Giô-sép, Bên-gia-min, Nép-ta-li, Gát và A-se","Đan, Jôsep, Bênjamin, Neptali, Gat păng Aser"
Các con trai của Giu-đa là:,Kon drŏ-nglo Juđa:
"Ê-rơ, Ô-nan và Shê-la","Er, Ônan păng Sêla"
"Ba người này do con gái Su-a, người Ca-na-an sinh",Pêng 'nu âu đơ̆ng akăn bơngai Kanaan kon drŏ-kăn Sua
Ê-rơ là con trưởng nam của Giu-đa nhưng người là kẻ ác trước mặt CHÚA nên Ngài cất mạng sống người đi,"Er, kon kơdră Juđa, pơm tơdrong kơnê̆ 'bơ̆t anăp Kră Yang, na Kră Yang pơlôch lê̆ sư"
Các con trai của Phê-rết là:,Kon drŏ-nglo Phêrês:
Hết-rôn và Ha-mun,Hêsrôn păng Hamul
Các con trai của Xê-rách là:,Kon drŏ-nglo Sêra:
"Xim-ri, Ê-than, Hê-man, Canh-đôn và Đa-ra; tất cả là năm người","Simri, Êthan, Hêman, Kalkôl păng Dara đei pơđăm 'nu"
Con trai của Cạt-mi là:,Kon drŏ-nglo Karmi:
A-ca người đem tai họa cho Y-sơ-ra-ên vì đã vi phạm điều cấm kỵ,"Đei Akar,a bơngai pơrŭng lăm Isơrael, pơm glăi kơ tơmam đe pơkăm"
Con trai của Ê-than là:,Kon drŏ-nglo Êthan:
Các con trai của Hết-rôn là:,Kon drŏ-nglo Hêsrôn pơjing:
"Giê-rác-mê-ên, Ram và Kê-lu-bai","Jêrahmêel, Ram păng Kalep"
"Na-ha-sôn sinh Sanh-ma, Sanh-ma sinh Bô-ô","Nahsôn pơjing Salmôn, Salmôn pơjing 'Bôô"
"Bô-ô sinh Ô-bết, Ô-bết sinh Y-sai","'Bôô pơjing Ôbêt, Ôbêt pơjing Jese"
Y-sai sinh con trưởng nam là,"Jese pơjing Êliap kon kơdră sư,"
"Ê-li-áp, con thứ hai là A-bi-na-đáp, con thứ ba là Si-mê-a","kon mă 'bar sư Abinađap, mă pêng Simêa"
"con thứ tư là Na-tha-na-ên, con thứ năm là Ra-đai","mă puăn Nethanel, mă pơđăm Rađai"
Các chị em của họ là Xê-ru-gia và A-bi-ga-in,Mŏ oh lu sư Sêruia păng Abigail
"Ba con trai của Xê-ru-gia là A-bi-sai, Giô-áp và A-xa-ên","Sêruia đei pêng 'nu kon drŏ-nglo Abisai, Jôap păng Asahel"
"A-bi-ga-in sinh A-ma-sa; cha của A-ma-sa là Giê-the, người Ích-ma-ên",Abigail pơjing kơ Amasa; 'bă Amasa noh Jêther bơngai Ismael
A-xu-ba qua đời; Ca-lép lấy Ê-phơ-rát và người sinh Hu-rơ,"Wă Asuba lôch boih, na Kalep iŏk Êphrat pơjing kơ Hur"
"Hu-rơ sinh U-ri, U-ri sinh Bết-sa-lê-ên","Hur pơjing Uri, Uri pơjing Bêsalel"
"Sau đó, khi người đã sáu mươi tuổi, Hết-rôn ăn ở với con gái của Ma-ki, là cha của Ga-la-át; Hết-rôn lấy nàng làm vợ và nàng sinh Sê-gúp","Đơ̆ng rŏng kơ 'noh, Hêsrôn iŏk oei tơdrâu-jĭt sơnăm boih, păng 'bĭch hăm kon adruh Makir, 'bă kơ Gileat; na đei hĭ Sêgup kơplah sư đĭ tơdrâu-jĭt sơnăm boih"
"Sê-gúp sinh Giai-rơ, người có hai mươi ba thành trong xứ Ga-la-át","Sêgup pơjing Jair, bơngai mă pơgơ̆r 'bar-jĭt pêng tŏ pơlei lăm dêh Gileat"
Dân Ghê-su-rơ và Sy-ri chiếm lấy thành Giai-rơ và Kê-nát cùng với các vùng phụ cận gồm sáu mươi thành,"Mă-lei kon pơlei Gêsur păng kon pơlei Aram tơgar iŏk pơlei Hawôt Jar păng Kênat, hăm lu pơlei iĕ jê̆ kiơ̆ 'noh đei tơdrâu-jĭt tŏ pơlei"
"Tất cả những người này là con cháu Ma-ki, cha của Ga-la-át","Đĭ-đăng lu bơngai 'noh kon sâu Makir, 'bă Gileat"
"Sau khi Hết-rôn chết tại Ca-lép Ép-ra-tha, vợ người là A-bi-gia sinh cho người A-sua, cha của Thê-cô-a","Đơ̆ng rŏng kơ Hêsrôn lôch tơ tơring Kalep Êphratha boih, na akăn sư Abija tơpŭ kơ sư Asur, 'bă Têkôa"
"Các con trai của Giê-rác-mê-ên, con trưởng nam của Hết-rôn, là:","Jêrahmêel, kon drŏ-nglo kơdră Hêsrôn:"
"Ram, Bu-na, Ô-ren, Ô-xem và A-hi-gia","Pơjing Ram kon kơdră, Buna, Ôren, Ôsem păng Ahija"
"Giê-rác-mê-ên lấy một người vợ nữa tên là A-ta-ra, mẹ của Ô-nam","Jêrahmêel iŏk akăn plơ̆ng dơ̆ng, anăn sư Atara; mĕ kơ Ônam"
"Các con trai của Ram, con trưởng nam của Giê-rác-mê-ên, là:","Kon drŏ-nglo Ram, kon kơdră Jêrahmêel:"
"Ma-ách, Gia-min và Ê-ke","Maas, Jamin păng Êkêr"
Các con trai của Ô-nam là:,Kon drŏ-nglo Ônam:
Sha-mai và Gia-đa,Sammai păng Jađa
Các con trai của Sha-mai là:,Kon drŏ-nglo Sammai:
Na-đáp và A-bi-su,Nađap păng Abisur
"Vợ của A-bi-su tên là A-bi-hai, nàng sinh Ạc-ban và Mô-lít","Akăn Abisur anăn Abihai, tơpŭ ăn kơ sư Ahban păng Môlit"
Các con trai của Na-đáp là:,Kon drŏ-nglo Nađap:
Sê-lê qua đời không có con,Mă-lei Sêlet lôch ưh tam đei kon
"Các con trai của Gia-đa, em Sa-mai là:",Kon drŏ-nglo Jađa oh Sammai noh:
Giê-the và Giô-na-than,Jêther păng Jônathan;
Giê-the qua đời không con,Jêther lôch kư̆m ưh kơ đei kon
Các con trai của Giô-na-than là:,Kon drŏ-nglo Jônathan:
Phê-lết và Xa-xa,Phêlêt păng Sasa
Đó là con cháu của Giê-rác-mê-ên,Noh kon sâu Jêrahmêel
"Sê-san gả con gái mình cho Gia-ra, tôi tớ mình và nàng sinh Ạt-tai",Sêsan pơgơ̆p ăn kon drŏ-kăn sư oei kơ Jarha đĭch sư na pơjing hĭ kơ Attai ăn kơ sư
"Ạt-tai sinh Na-than,","Attai pơjing Nathan,"
Na-than sinh Xa-bát,Nathan pơjing Sabat
"Xa-bát sinh Êp-la,","Sabat pơjing Ephal,"
Ép-la sinh Ô-bết,Ephal pơjing Ôbêt
"Ô-bết sinh Giê-hu,",Ôbêt pơjing Jêhu
Giê-hu sinh A-xa-ria,Jêhu pơjing Asaria
"A-xa-ria sinh Hê-lết,",Asaria pơjing Hêles
Hê-lết sinh Ê-la-xa,Hêles pơjing Êlêasa
"Ê-la-xa sinh Sít-mai,",Êlêasa pơjing Sismai
Sít-mai sinh Sa-lum,Sismai pơjing Sallum
"Các con trai của Ca-lép, em Giê-rác-mê-ên, là:",Kon drŏ-nglo Kalep oh Jêrahmêel:
"Mê-sa, con trưởng nam, người là tổ phụ của Xíp và các con trai của Ma-rê-sa, là tổ phụ của Hếp-rôn","Kon kơdră sư Mêsa, 'bă kơ Sip, păng kon drŏ-nglo Marêsa, 'bă kơ Hêbrôn"
Các con trai của Hếp-rôn là:,Kon drŏ-nglo Hêbrôn:
"Cô-ra, Táp-bua, Rê-kem và Sê-ma","Kôra, Tappua, Rêkem păng Sêma"
"Rê-ma sinh Ra-cham, tổ phụ của Giô-kê-am; Rê-kem sinh Sa-mai",Sêma pơjing Raham păng Raham 'bă kơ Jôrkêam; Rêkem pơjing Sammai
Con trai của Sa-mai là Ma-ôn và Ma-ôn là tổ phụ của Bết-sua,Kon drŏ-nglo Sammai noh Maôn păng Maôn 'bă kơ Bêt Sur
"Ê-pha là vợ nhỏ của Ca-lép, sinh Ha-ran, Một-sa và Ga-xe; Ha-ran sinh Ga-xe","Êpha akăn kơnhŏng Kalep, mĕ kơ Haran, Môsa păng Gases; Haran pơjing Gases"
Các con trai của Gia-đai là:,Kon drŏ-nglo Jahdai:
"Rê-ghem, Giô-than, Ghê-san, Phê-lết, Ê-pha và Sa-áp","Noh Rêgem, Jôtham, Gêsan, Phêlêt, Êpha păng Saap"
Vợ nhỏ của Ca-lép là Ma-a-ca; nàng sinh Sê-be và Ti-ra-na,"Maaka akăn kơnhŏng Kalep, pơjing kơ Sêber păng Tirhana"
"nàng cũng sinh Sa-áp, tổ phụ của Mát-ma-na, Sê-va, tổ phụ của Mác-bê-na và Ghi-bê-a","Sư kư̆m pơjing kơ Saap, 'bă kơ Matmanna păng Sêwa 'bă kơ Makbêna păng Gibêa"
Con gái của Ca-lép là Ạc-sa,Aksa kon drŏ-kăn Kalep
Đây là con cháu của Ca-lép:,'Nâu lu kon sâu Kalep:
"Các con trai của Hu-rơ, con trưởng nam của Ép-ra-ta:","Lu kon drŏ-nglo Hur, kon drŏ-nglo kơdră Êphratha:"
Sô-banh là tổ phụ của Ki-ri-át Giê-a-rim,"Sôbal, 'bă kơ Kiriat Jêarim"
Sanh-ma là tổ phụ của Bết-lê-hem; Ha-rép là tổ phụ của Bết-ga-đe,Salma 'bă kơ Betlehem păng Harep 'bă kơ Bêt Gađer
"Con cháu của Sô-banh, tổ phụ của Ki-ri-át Giê-a-rim, là:",Sôbal 'bă kơ Kiriat Jêarim kư̆m đei lu kon drŏ-nglo nai:
Ha-rô-ê và nửa phần dân Mê-nu-hốt,Harôê păng minh puăt kon pơlei Manahathit
"các dòng của Ki-ri-át Giê-a-rim là Dít-rít, Phu-tít, Su-ma-tít và Mích-ra-ít","lu adrĕch Kiriat Jêarim: Bơngai Ithrit, Phuthit, Sunathit păng Misrait"
Từ các dòng này có dân Xô-ra-tít và Ếch-tao-lít,Đơ̆ng lu adrĕch noh na đei kon pơlei Sôrathit păng kon pơlei Êstaôl
Con cháu của Sanh-ma là:,Kon sâu Salma:
"Bết-lê-hem, dân Nê-tô-pha-tít, dân Ạt-rốt Bết Giô-áp, nửa phần dân Ma-na-ha-tít và dân Xô-rít","Betlehem, bơngai Nêtôphathit, Atrôt Bêt Jôap, minh puăt kon pơlei Manahathit păng Sôrit"
"Dòng họ của các giáo sư kinh luật ở tại Gia-bết là Ti-ra-tít, Si-ma-tít và Su-ca-tít","păng adrĕch adrung 'bok thây bơtho khôi juăt oei tơ pơlei Jabes noh bơngai Tirathit, Simeathit, păng Sukathit"
"Đây là dân Kê-nít, dòng dõi của Ha-mát, tổ phụ nhà Rê-cáp","'Noh kon pơlei Kênit, đơ̆ng adrĕch Hammat, 'bă kơ adrĕch Rêkap"
Đây là các con trai của Đa-vít sinh tại Hếp-rôn:,'Nâu dôm lu kon drŏ-nglo Đawit tơpŭ tơ Hêbrôn:
"Am-nôn, con trưởng nam, mẹ là A-hi-nô-am, người Gít-rê-ên",Kon drŏ-nglo kơdră sư Amnôn mĕ sư Ahinôam bơngai Jêsreel;
"Con thứ hai là Đa-ni-ên, mẹ là A-bi-ga-in, người Cạt-mên",kon mă 'bar noh Đaniel mĕ sư Abigail bơngai Karmel
"con thứ ba là Áp-sa-lôm, mẹ là Ma-a-ca, con gái Tan-mai, vua vùng Ghê-su-rơ;","mă pêng, Apsalôm kon drŏ-nglo mĕ sư Maaka, kon drŏ-kăn Tanmai pơtao dêh Gêsur;"
"con thứ tư là A-đô-ni-gia, mẹ là Ha-ghít","mă puăn Ađônija, kon drŏ-nglo mĕ sư Hagit"
"con thứ năm là Sê-pha-tia, mẹ là A-bi-tanh;","mă pơđăm Sêphatia, kon drŏ-nglo mĕ sư Abitan;"
"con thứ sáu là Dít-rê-am, mẹ là Éc-la, vợ Đa-vít",mă tơdrâu Itrêam kon drŏ-nglo Egla
Sáu người con này sinh tại Hếp-rôn;,Tơdrâu 'nu kon drŏ-nglo 'nâu tơpŭ ăn kơ Đawit tơ Hêbrôn; sư pơgơ̆r tơpơh sơnăm tơdrâu khei
Đa-vít trị vì tại đó bảy năm sáu tháng; người trị vì tại Giê-ru-sa-lem ba mươi ba năm,Đawit pơgơ̆r tơ Jêrusalem pêng-jĭt pêng sơnăm
Đây là những người con sinh tại Giê-ru-sa-lem:,'Nâu dôm lu kon drŏ-nglo mă đei tơpŭ ăn kơ Đawit tơ Jêrusalem:
"Si-mê-a, Sô-báp, Na-than và Sa-lô-môn; bốn người có mẹ là Bát-sua, con gái của A-mi-ên","Simêa, Sôbap, Nathan păng Sôlômôn, puăn 'nu âu, mĕ lu sư Batsêba, kon drŏ-kăn Ammiel"
"Cũng có Gi-ba, Ê-li-sa-ma, Ê-li-phê-lết","Sư đei dơ̆ng kon drŏ-nglo: Iphar, Êlisua, Êliphêlet"
"Ê-li-sa-ma, Ê-li-gia-đa và Ê-li-phê-lết","Êlisama, Êliađa păng Êliphêlet, đĭ-đăng tơsĭn 'nu"
tất cả chín người đều là các con trai của Đa-vít không kể những người con của các cung phi và Ta-ma là chị em của chúng,'Noh dôm lu kon drŏ-nglo Đawit tam mă jô̆ lu kon drŏ-nglo akăn kơ 'nhŏng sư; păng Tamar oh drŏ-kăn lu sư
"Con trai của Sa-lô-môn là Rô-bô-am,",Kon drŏ-nglo Sôlômôn noh Rêhôbôam;
"con Rô-bô-am là A-bi-gia,","kon drŏ-nglo Rêhôbôam noh Abija,"
"con trai A-bi-gia là A-sa,","kon drŏ-nglo Abija noh Asa,"
con trai A-sa là Giô-sa-phát,kon drŏ-nglo Asa noh Jêhôsaphat
"con trai Giô-sa-phát là Giô-ram,","kon drŏ-nglo Jêhôsaphat noh Jêhôram,"
"con trai Giô-ram là A-cha-xia,","kon drŏ-nglo Jêhôram noh Ahasia,"
con trai A-cha-xia là Giô-ách,kon drŏ-nglo Ahasia noh Jôas
"con trai Ma-na-se là A-môn,","kon drŏ-nglo Manase noh Ammôn,"
con trai A-môn là Giô-si-a,kon drŏ-nglo Ammôn noh Jôsia
Các con trai của Giô-si-a là:,Kon drŏ-nglo Jôsia:
"Giô-ha-nan, con trưởng nam,",Kon drŏ-nglo kơdră sư Jôhanan;
"con thứ nhì là Giê-hô-gia-kim,","kon mă 'bar noh Jêhôiakim,"
"con thứ ba là Sê-đê-kia,","mă pêng noh Sêđekia,"
con thứ tư là Sa-lum,kon mă puăn noh Sallum
"Các con trai của Giê-chô-nia, người bị lưu đày là:","Kon drŏ-nglo Jêkônia kơplah sư pơm bơnă tơ Babilôn,"
"Manh-ki-ram, Phê-đa-gia, Sê-na-xa, Giê-ca-mia, Hô-sa-ma và Nê-đa-mia","Malkiram, Phêđaia, Sênasar, Jêkamia, Hôsama păng Nêđabia"
Các con trai của Phê-đa-gia là:,Kon drŏ-nglo Phêđaia noh:
Xô-rô-ba-bên và Si-mê-i,Sêrubabêl păng Simêi
Các con trai của Xô-rô-ba-bên là:,Kon drŏ-nglo Sêrubabêl noh:
Mê-su-lam và Ha-na-nia;,Mêsulam păng Hanania;
và Sê-lô-mi là chị em của chúng,Sêlômit oh drŏ-kăn lu sư
Năm người con khác là:,Kŭm đei pơđăm 'nu kon drŏ-nglo dơ̆ng noh:
"Ha-su-ba, Ô-hên, Bê-rê-kia, Ha-sa-đia và Du-sáp Hê-sết","Hasuba, Ôhêl, Bêrekia, Hasađia, Jusap Hêset"
Các con trai của Ha-na-nia là:,Lu kon sâu Hanania noh:
"Phê-la-tia và I-sa; cũng có các con trai của Rê-pha-gia, của Ạc-nan, của Ô-ba-đia và của Sê-ca-nia","Phêlatia păng Jêsaia kư̆m đei lu kon drŏ-nglo Rêphaia, kon drŏ-nglo Arnan, kon drŏ-nglo Ôbađia, păng kon drŏ-nglo Sêkania"
Các con trai của Nê-a-ria là:,Kon drŏ-nglo Nêaria noh:
"Ê-li-ô-ê-nai, Ê-xê-chia, và A-ri-kham, gồm ba người","Êliôenai, Hiskia păng Asrikam, đĭ-đăng pêng 'nu"
Các con trai của Ê-li-ô-ê-nai là:,Kon drŏ-nglo Êliôenai noh:
"Hô-đa-via, Ê-li-a-síp, Phê-la-gia, A-cúp, Giô-ha-nan, Đê-la-gia và A-na-ni, gồm bảy người","Hôđawia, Êliasip, Phêlaia, Akup, Jôhanan, Đêlaia, păng Anani, đĭ-đăng tơpơh 'nu"
"Rê-a-gia, con trai của Sô-banh, sinh Gia-hát; Gia-hát sinh A-hu-mai và La-hát","Rêaja, kon drŏ-nglo Sôbal pơjing Jahat; Jahat pơjing Ahumai păng Lahat"
Những người này là dòng họ Xô-ra-tít,'Noh boih lu kon pơlei Sôrathit
Đây là con cháu của A-bi Ê-tam:,'Nâu kon drŏ-nglo Êtam:
"Gít-rê-ên, Dít-ma và Di-ba; em gái họ tên là Ha-sê-lê-bô-ni",Jêsreel Isma păng Ibas; oh drŏ-kăn lu sư anăn Haselepôni
"Phê-nu-ên là tổ phụ của Ghê-đô và Ê-xe, tổ phụ của Hu-sa","đei dơ̆ng Penuel 'bă kơ Gêđôr, păng Êser 'bă kơ Husa"
"Những người này là con cháu của Hu-rơ, con trưởng nam của Ép-ra-ta, tổ phụ của Bết-lê-hem","'Noh boih, kon sâu Hur, kon drŏ-nglo kơdră Êphratha 'bă kơ Betlehem"
"A-sua, tổ phụ của Thê-cô-a, có hai vợ là Hê-lê-a và Na-a-ra","Asur, 'bă kơ Têkôa, đei 'bar 'nu akăn Hêla păng Naara"
"Na-a-ra sinh A-hu-xam, Hê-phê, Thê-mê-ni và A-hách-tha-ri","Naara tơpŭ kơ Ahusam, Hêpher, Têmeni păng Ahachtari"
Đây là các con trai của Na-a-ra,Noh boih lu kon drŏ-nglo Naara
Các con trai của Hê-lê-a là:,Kon drŏ-nglo Hêla noh:
"Ha-cốt sinh A-núp, Hát-xô-bê-ba và dòng họ A-ha-bên, con của Ha-rum","Kôs pơjing Anup, Hasôbêba păng adrĕch Aharhel, kon drŏ-nglo Harum"
"Gia-bê cầu khẩn Đức Chúa Trời của Y-sơ-ra-ên rằng: “Xin Chúa ban phước cho tôi, xin Ngài mở rộng bờ cõi tôi, nguyện tay Ngài ở cùng tôi và bảo vệ tôi khỏi tai họa đau khổ",Jabes krao apinh Kră Yang 'Bok Kei-Dei Isơrael khan: “Ơ Kră Yang apinh Ih tuh ăn kơ inh pŭn hiôk pơih ăn hơdral teh đak inh mă să
” Đức Chúa Trời ban cho người điều người cầu xin,"Apinh ti mơsêh Ih oei hơdai inh, wei-lăng inh klaih đơ̆ng tơdrong răm pơmat-tat” Kră Yang 'Bok Kei-Dei ăn hloi thoi tơdrong sư krao apinh"
"Kê-lúp, anh của Su-ha, sinh Mê-hia, tổ phụ của Ê-tôn","Kêlup, oh kơ Suha, 'bă kơ Mêhir, Mêhir 'bă kơ Êstôn"
"Ê-tôn sinh Ra-pha, Pha-sê-a và Tê-hi-na, tổ phụ của I-na-hách","Êstôn pơjing Bet Rapha, Phasêa păng Têhina, 'bă kơ Irnahas"
Đây là những người thuộc dòng họ Rê-ca,'Noh boih lu bơngai Rêka
Các con trai của Kê-na là:,Kon drŏ-nglo Kênas:
Ốt-ni-ên và Sê-ra-gia,Ôtniêl păng Sêraja
Con trai của Ốt-ni-ên là:,Kon drŏ-nglo Ôtniêl:
"Các con trai của Ca-lép, con của Giê-phu-nê, là:",Lu kon drŏ-nglo Kalep kon drŏ-nglo Jêphunê noh:
"Y-ru, Ê-la và Na-am;","Iru, Êlah, păng Naam"
con trai của Ê-la là:,Kon drŏ-nglo Êlah noh:
Các con trai của Giê-ha-lê-le là:,Kon drŏ-nglo Jêhalêlel noh:
"Xíp, Xi-pha, Thi-ria và A-sa-rên","Sip, Sipha, Tiria păng Asarel"
Các con trai của Ê-xơ-ra là:,Kon drŏ-nglo Esra noh:
"Giê-the, Mê-rết, Ê-phe và Gia-luân","Jêther, Mêret, Epher păng Jalôn"
"Vợ của Mê-rết sinh Mi-ri-am, Sa-mai và Dít-bác, tổ phụ của Ếch-tê-mô-a","Akăn Mêret tơpŭ kơ Miriam, Sammai, păng Isba 'bă kơ Êthemôa"
"Còn vợ khác, là người Giu-đa, sinh Giê-rệt, tổ phụ của Ghê-đô, Hê-be, tổ phụ của Sô-cô và Giê-cu-ti-ên, tổ phụ của Xa-nô-a","Akăn sư bơngai Juđa tơpŭ kơ Jêret, 'bă kơ Gêđôr, Hêber, 'bă kơ Sôkô păng Jêkuthiêl 'bă kơ Sanôa"
"Những người này là các con của Bi-thia, con gái Pha-ra-ôn mà Mê-rết cưới làm vợ","'Noh boih kon Bithia, kon drŏ-kăn Pharaôn, mă Mêret iŏk pơm akăn"
"Các con trai của vợ của Hô-đia, em gái Na-ham là:","Kon drŏ-nglo akăn Hôđia, oh drŏ-kăn Naham,"
"cha của Kê-hi-la, người Hạc-mít và Ếch-tê-mô-a, người Ma-ca-thít","pơjing 'bă kơ Kêila bơngai Garmit, păng Êthemôa, bơngai Maakathit"
Các con trai của Si-môn là:,Kon drŏ-nglo Simôn noh:
"Am-môn, Ri-na, Bên Ha-nan và Ti-lôn","Amnôn, Rinna, Bên Hanan păng Tilôn"
Các con trai của Di-si là:,Lu kon sâu Isi noh:
Xô-hết và Bên Xô-hết,Sôhêt păng Bên Sôhêt
"Các con trai của Sê-la, con trai Giu-đa, là:","Kon drŏ-nglo Sêla, kon drŏ-nglo Juđa noh:"
